Zip Code,Median earnings (dollars),"Median earnings (dollars) Agriculture, forestry, fishing and hunting","Median earnings (dollars) Mining, quarrying, and oil and gas extraction",Median earnings (dollars) Construction,Median earnings (dollars) Manufacturing,Median earnings (dollars) Wholesale trade,Median earnings (dollars) Retail trade,Median earnings (dollars) Transportation and warehousing,Median earnings (dollars) Utilities,Median earnings (dollars) Information,Median earnings (dollars) Finance and insurance,Median earnings (dollars) Real estate and rental and leasing,"Median earnings (dollars) Professional, scientific, and technical services",Median earnings (dollars) Management of companies and enterprises,Median earnings (dollars) Administrative and support and waste management services,Median earnings (dollars) Educational services,Median earnings (dollars) Health care and social assistance,"Median earnings (dollars) Arts, entertainment, and recreation",Median earnings (dollars) Accommodation and food services,"Median earnings (dollars) Other services, except public administration",Median earnings (dollars) Public administration,Median earnings (dollars) for male,"Median earnings (dollars) for male Agriculture, forestry, fishing and hunting","Median earnings (dollars) for male Mining, quarrying, and oil and gas extraction",Median earnings (dollars) for male Construction,Median earnings (dollars) for male Manufacturing,Median earnings (dollars) for male Wholesale trade,Median earnings (dollars) for male Retail trade,Median earnings (dollars) for male Transportation and warehousing,Median earnings (dollars) for male Utilities,Median earnings (dollars) for male Information,Median earnings (dollars) for male Finance and insurance,Median earnings (dollars) for male Real estate and rental and leasing,"Median earnings (dollars) for male Professional, scientific, and technical services",Median earnings (dollars) for male Management of companies and enterprises,Median earnings (dollars) for male Administrative and support and waste management services,Median earnings (dollars) for male Educational services,Median earnings (dollars) for male Health care and social assistance,"Median earnings (dollars) for male Arts, entertainment, and recreation",Median earnings (dollars) for male Accommodation and food services,"Median earnings (dollars) for male Other services, except public administration",Median earnings (dollars) for male Public administration,Median earnings (dollars) for female,"Median earnings (dollars) for female Agriculture, forestry, fishing and hunting","Median earnings (dollars) for female Mining, quarrying, and oil and gas extraction",Median earnings (dollars) for female Construction,Median earnings (dollars) for female Manufacturing,Median earnings (dollars) for female Wholesale trade,Median earnings (dollars) for female Retail trade,Median earnings (dollars) for female Transportation and warehousing,Median earnings (dollars) for female Utilities,Median earnings (dollars) for female Information,Median earnings (dollars) for female Finance and insurance,Median earnings (dollars) for female Real estate and rental and leasing,"Median earnings (dollars) for female Professional, scientific, and technical services",Median earnings (dollars) for female Management of companies and enterprises,Median earnings (dollars) for female Administrative and support and waste management services,Median earnings (dollars) for female Educational services,Median earnings (dollars) for female Health care and social assistance,"Median earnings (dollars) for female Arts, entertainment, and recreation",Median earnings (dollars) for female Accommodation and food services,"Median earnings (dollars) for female Other services, except public administration",Median earnings (dollars) for female Public administration,Women's earnings as a percentage of men's earning,"Women's earnings as a percentage of men's earning Agriculture, forestry, fishing and hunting","Women's earnings as a percentage of men's earning Mining, quarrying, and oil and gas extraction",Women's earnings as a percentage of men's earning Construction,Women's earnings as a percentage of men's earning Manufacturing,Women's earnings as a percentage of men's earning Wholesale trade,Women's earnings as a percentage of men's earning Retail trade,Women's earnings as a percentage of men's earning Transportation and warehousing,Women's earnings as a percentage of men's earning Utilities,Women's earnings as a percentage of men's earning Information,Women's earnings as a percentage of men's earning Finance and insurance,Women's earnings as a percentage of men's earning Real estate and rental and leasing,"Women's earnings as a percentage of men's earning Professional, scientific, and technical services",Women's earnings as a percentage of men's earning Management of companies and enterprises,Women's earnings as a percentage of men's earning Administrative and support and waste management services,Women's earnings as a percentage of men's earning Educational services,Women's earnings as a percentage of men's earning Health care and social assistance,"Women's earnings as a percentage of men's earning Arts, entertainment, and recreation",Women's earnings as a percentage of men's earning Accommodation and food services,"Women's earnings as a percentage of men's earning Other services, except public administration",Women's earnings as a percentage of men's earning Public administration
91103,31221,-,-,31875,48490,65192,19520,28368,32363,72833,69401,60025,63250,59323,21682,40897,30029,34000,20934,22206,59291,33694,-,-,30925,48854,42083,23388,24859,207708,66094,93889,61250,59659,59323,21226,32478,61250,53472,25458,27482,64946,28452,-,-,77656,43250,65781,17809,34583,31172,74583,61741,46827,64125,-,22879,41133,25135,33125,14180,13780,43224,84.4,-,-,251.1,88.5,156.3,76.1,139.1,15,112.8,65.8,76.5,107.5,-,107.8,126.6,41,61.9,55.7,50.1,66.6
91104,42211,100500,-,31977,57721,51420,22585,49500,95750,85057,66146,52292,76836,-,25273,53750,40682,64205,18373,28934,75362,47239,-,-,32059,70071,52045,26932,39688,123750,80156,81125,70179,83516,-,26306,82727,60208,66705,19747,31990,77143,37674,-,-,-,26642,40208,21408,102716,-,86417,54257,52083,64783,-,23393,40793,38244,45179,15841,22885,66614,79.8,-,-,-,38,77.3,79.5,258.8,-,107.8,66.9,74.2,77.6,-,88.9,49.3,63.5,67.7,80.2,71.5,86.4
91105,83288,-,-,75625,105594,55795,50720,32159,95313,102039,102885,76806,108385,-,49219,73017,81424,41389,30476,56875,73478,104773,-,-,67031,105969,61250,107250,44120,96406,119773,102067,76250,130000,-,38427,152708,120250,40556,41250,89167,69732,63077,-,-,96111,86944,30938,38846,-,-,52841,103317,100417,80944,-,61250,61320,64102,43250,22663,43750,73641,60.2,-,-,143.4,82,50.5,36.2,-,-,44.1,101.2,131.7,62.3,-,159.4,40.2,53.3,106.6,54.9,49.1,105.6
91106,51353,-,-,51928,50658,85288,32484,27286,71544,87750,85000,54279,70288,-,17022,51378,57719,31217,19206,24097,82778,54307,-,-,52246,51691,111000,31599,50865,66583,98750,87083,52644,71635,-,18173,42059,71027,12393,18293,67464,105364,48226,-,-,26058,31905,63244,37519,17218,73250,44063,82143,69444,63359,-,16211,61944,55714,60417,25548,14844,54659,88.8,-,-,49.9,61.7,57,118.7,33.9,110,44.6,94.3,131.9,88.4,-,89.2,147.3,78.4,487.5,139.7,22,51.9
91107,55907,-,-,40375,56985,60789,32231,50769,93250,73080,77500,45610,81231,116250,31667,55859,60885,51400,20875,27259,101324,62724,-,-,32981,54939,62237,38714,50635,87875,64519,119861,46607,87347,122396,31859,54821,73906,60037,23672,35272,106250,50995,-,-,43654,57969,50385,30276,63015,112212,77534,59402,45093,63705,-,29873,56424,54781,47692,20141,25078,88000,81.3,-,-,132.4,105.5,81,78.2,124.4,127.7,120.2,49.6,96.8,72.9,-,93.8,102.9,74.1,79.4,85.1,71.1,82.8
91108,100534,-,-,75950,102266,78355,41500,47393,-,104598,87708,50865,129819,-,8194,116136,105272,162426,104570,14609,79871,120145,-,-,76000,105069,85417,53750,47225,-,104688,141389,201167,174712,-,9444,63365,169712,-,107520,-,103828,64154,-,-,-,7222,78224,39005,47500,-,82400,53485,29250,122411,-,"2,500-",125688,62273,161691,-,14785,54853,53.4,-,-,-,6.9,91.6,72.6,100.6,-,78.7,37.8,14.5,70.1,-,-,198.4,36.7,-,-,-,52.8
91201,39716,11023,-,34038,38628,36378,27595,34766,136979,62981,60125,65592,58844,-,28456,55255,41081,47917,22680,41818,64479,41734,11023,-,32411,45688,43614,31311,27788,137917,75250,41838,48750,82850,-,25658,54955,48365,47679,19675,48590,77813,35772,-,-,-,35313,31000,22530,56548,-,48250,60688,66908,41105,-,47094,55278,40101,48147,23750,27813,63750,85.7,-,-,-,77.3,71.1,72,203.5,-,64.1,145.1,137.2,49.6,-,183.5,100.6,82.9,101,120.7,57.2,81.9
91202,44656,-,-,40257,46597,41771,43750,39145,74306,79583,72083,45000,78257,-,44049,46964,31438,51513,14333,37778,54491,52614,-,-,40700,47083,42202,48000,43750,84643,81736,71250,43264,90433,-,42908,76084,41094,40500,13300,40852,60355,39115,-,-,36250,46111,36513,42045,38553,-,63158,73000,63500,52361,-,48472,36083,30765,51776,25284,28214,53727,74.3,-,-,89.1,97.9,86.5,87.6,88.1,-,77.3,102.5,146.8,57.9,-,113,47.4,74.9,127.8,190.1,69.1,89
91203,41008,-,-,31896,42256,38125,37692,23750,-,64226,68427,52125,63333,-,19754,26250,53339,58594,21098,29896,38125,43506,-,-,31964,46908,53906,38558,24444,-,65417,68548,22386,79052,-,36563,10521,70127,62896,26417,34353,53281,39078,-,-,-,31808,28125,30455,15938,-,63869,67031,65529,61196,-,19122,27158,46902,51750,17885,21429,37813,89.8,-,-,-,67.8,52.2,79,65.2,-,97.6,97.8,292.7,77.4,-,52.3,258.1,66.9,82.3,67.7,62.4,71
91204,31989,-,-,25515,39572,31776,21973,35087,-,56422,36406,24211,43571,-,28209,35197,39356,64722,20891,21042,25833,34555,-,-,24583,43958,43026,25971,32315,-,60524,54375,22176,60051,-,26731,16111,39757,63935,21596,38813,44474,30812,-,-,-,32037,30526,20078,-,-,55086,33333,30787,36985,-,45977,43060,38875,75708,16970,17829,23796,89.2,-,-,-,72.9,70.9,77.3,-,-,91,61.3,138.8,61.6,-,172,267.3,97.8,118.4,78.6,45.9,53.5
91205,33890,-,-,26727,29364,54417,19953,39271,96111,53725,60752,38750,57740,-,31495,42583,36424,32184,20676,26808,45694,37511,-,-,26753,30179,49464,23446,39729,-,54781,61712,30571,59327,-,44471,42763,48298,32188,22078,30913,75385,30625,-,-,17188,24806,117567,11964,31667,-,47857,52031,43125,50341,-,21413,37292,33077,32171,17745,25547,20408,81.6,-,-,64.2,82.2,237.7,51,79.7,-,87.4,84.3,141.1,84.9,-,48.2,87.2,68.5,99.9,80.4,82.6,27.1
91206,47052,-,-,39909,51328,42222,33646,28819,70750,66750,86078,57429,65375,-,38804,44561,44807,43333,24851,26049,53333,51415,-,-,41203,78472,36845,43864,28056,-,78657,95338,59444,70738,-,26866,65750,57222,51133,26071,32212,58656,44132,-,-,37868,22031,67500,28227,30382,-,58640,84394,53790,59438,-,60497,40100,43188,17460,23919,18689,49792,85.8,-,-,91.9,28.1,183.2,64.4,108.3,-,74.6,88.5,90.5,84,-,225.2,61,75.5,34.1,91.7,58,84.9
91207,60201,-,-,49458,31635,61875,23750,31550,-,90802,155833,48899,61551,-,35583,55526,69926,103929,14886,41250,29048,73224,-,-,48521,97232,112556,22283,31750,-,90802,184737,63472,102132,-,68125,91339,204186,182563,14119,51129,84861,50113,-,-,-,11276,-,25667,-,-,112500,106719,47589,48571,-,30385,48188,66791,103839,32109,16607,28036,68.4,-,-,-,11.6,-,115.2,-,-,123.9,57.8,75,47.6,-,44.6,52.8,32.7,56.9,227.4,32.5,33
91208,65352,-,-,96875,62803,53369,62584,54519,199306,128378,96439,65208,92656,-,67880,62708,50645,60250,42604,47849,100263,86378,-,-,105333,93417,52881,64396,53942,208664,128243,190787,116699,155441,-,50200,63000,89519,113066,45070,60336,136786,53231,-,-,-,53990,114853,38173,-,-,203409,58750,53774,76739,-,68608,62159,41273,14063,-,37037,57941,61.6,-,-,-,57.8,217.2,59.3,-,-,158.6,30.8,46.1,49.4,-,136.7,98.7,46.1,12.4,-,61.4,42.4
91210,108056,-,-,-,-,-,-,-,-,-,153958,-,163646,-,-,-,-,-,-,-,-,109653,-,-,-,-,-,-,-,-,-,153958,-,235192,-,-,-,-,-,-,-,-,96435,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91214,60744,38250,-,71782,81324,54667,23375,53188,115259,96364,64712,57792,75042,-,21786,58833,56742,52014,21431,43026,95525,72756,38250,-,72261,86681,62594,38036,59130,115129,99048,68848,62700,90521,-,22143,64500,100750,52813,23807,54141,115263,46125,-,-,61176,47411,49138,18057,31287,147670,87083,57734,54957,53229,-,17308,54630,44496,26971,21014,21960,66875,63.4,-,-,84.7,54.7,78.5,47.5,52.9,128.3,87.9,83.9,87.7,58.8,-,78.2,84.7,44.2,51.1,88.3,40.6,58
91301,60057,-,-,75714,83214,60804,16273,37083,-,122151,109851,61466,92337,66875,48750,51635,52167,34590,20322,23090,58219,83024,-,-,75982,117038,107857,26688,87656,-,157656,142853,26103,109650,68083,46875,53962,86923,49295,20870,43527,59313,44077,-,-,62212,57691,53153,13803,36319,-,110000,109117,63012,71111,-,64038,50023,44444,10887,16042,9845,14273,53.1,-,-,81.9,49.3,49.3,51.7,41.4,-,69.8,76.4,241.4,64.9,-,136.6,92.7,51.1,22.1,76.9,22.6,24.1
91302,68423,12333,-,30625,104764,67083,37350,21081,-,138224,99432,107432,77118,-,64637,55625,64648,63598,20707,39306,100395,95911,12333,-,28631,150134,108750,52561,20473,-,150203,100547,129808,102996,-,102031,75625,92738,119868,20114,43869,89201,48873,-,-,96111,71563,31071,35300,24750,-,48750,79423,56792,50875,-,62661,49560,48036,18517,21250,36979,101908,51,-,-,335.7,47.7,28.6,67.2,120.9,-,32.5,79,43.8,49.4,-,61.4,65.5,51.8,15.4,105.6,84.3,114.2
91303,29770,22143,-,26838,33750,19926,22367,39906,-,67956,62688,50417,59545,-,21715,31017,31773,21821,21857,21795,54412,31147,22946,-,26474,43538,18214,27943,40391,-,68855,76316,53393,75492,-,24496,42083,41094,24196,22810,25833,60268,26168,-,-,36932,26435,26607,17716,34231,-,44306,49539,40114,51797,-,17837,24537,31452,16596,19097,17819,31442,84,-,-,139.5,60.7,146.1,63.4,84.7,-,64.3,64.9,75.1,68.6,-,72.8,58.3,76.5,68.6,83.7,69,52.2
91304,31505,35982,50568,30159,36480,43799,23312,36554,72083,72039,64839,46705,56307,-,19888,32204,36673,25685,18816,25988,66875,35549,35089,-,29492,37414,43652,27313,37121,70903,75921,82122,48958,63015,-,37888,30179,46017,26411,18067,32364,91293,26987,-,-,41686,32743,46875,19164,27434,-,27000,51065,37459,48158,-,15901,33777,31919,23816,19449,19784,36477,75.9,-,-,141.3,87.5,107.4,70.2,73.9,-,35.6,62.2,76.5,76.4,-,42,111.9,69.4,90.2,107.6,61.1,40
91306,30986,25203,-,25795,41443,43018,22811,30544,46250,52011,51250,30096,52898,-,25428,31914,40155,30132,18512,18511,52500,33274,25116,-,24857,46856,44695,25560,30076,47083,54628,60750,38750,64464,-,29236,25909,44133,31706,25608,25288,65208,27094,-,-,38269,30714,35139,21513,31992,-,38913,40750,16488,50068,-,18885,41176,39026,19861,15116,14443,36111,81.4,-,-,154,65.5,78.6,84.2,106.4,-,71.2,67.1,42.5,77.7,-,64.6,158.9,88.4,62.6,59,57.1,55.4
91307,62783,31406,-,65179,85125,65365,39783,44135,104250,81736,96990,105655,90588,-,37277,62308,57241,31812,13449,22872,65288,77775,31406,-,61207,100795,67292,71005,38621,107885,100954,108203,102697,98750,-,42500,70552,66458,31728,17083,25739,110000,50771,-,-,98214,53750,60298,30052,173025,-,73837,69183,108427,61219,-,36205,54943,55577,32054,11983,16700,46518,65.3,-,-,160.5,53.3,89.6,42.3,448,-,73.1,63.9,105.6,62,-,85.2,77.9,83.6,101,70.1,64.9,42.3
91311,46974,53304,-,57578,64602,58942,26549,40556,75761,67219,65625,38194,63598,-,35536,52926,54647,33152,13290,28902,72857,52660,54554,-,57656,64725,63125,29799,43092,74527,67841,77554,66071,80813,-,40129,52750,64924,33646,15313,30846,74554,42314,-,-,37396,64219,42192,21728,28036,123333,63816,62109,26989,44951,-,30724,53017,46190,32614,9075,25375,66319,80.4,-,-,64.9,99.2,66.8,72.9,65.1,165.5,94.1,80.1,40.8,55.6,-,76.6,100.5,71.1,96.9,59.3,82.3,89
91316,47256,-,-,37548,63750,34107,30920,24736,-,71607,46752,54286,62720,-,43351,42262,55353,27188,31096,40515,46161,58942,-,-,38942,75395,34719,41855,25669,-,70956,41008,64022,102120,-,42826,65208,90417,41277,33654,50486,55800,39714,-,-,21927,53688,24000,30220,23692,-,99083,52768,36188,48418,-,49917,29347,52530,17955,30532,31542,23306,67.4,-,-,56.3,71.2,69.1,72.2,92.3,-,139.6,128.7,56.5,47.4,-,116.6,45,58.1,43.5,90.7,62.5,41.8
91320,60295,9955,-,72292,103822,98013,30555,44671,135833,86188,85518,61506,95139,-,42975,51081,50978,21491,14517,22969,82312,79145,9442,-,81126,110093,78889,41477,52083,116750,97784,91667,83438,108053,-,44075,72847,88365,21196,24191,40227,108482,41256,12212,-,38958,66837,130667,21979,26875,-,62857,74190,53988,64141,-,37188,48111,41893,21604,10101,17382,67794,52.1,129.3,-,48,60.7,165.6,53,51.6,-,64.3,80.9,64.7,59.4,-,84.4,66,47.4,101.9,41.8,43.2,62.5
91321,34538,-,-,34638,53846,85962,29861,31914,105583,55087,60915,43646,45524,-,23807,32813,38190,29620,21049,16902,62969,38188,-,-,33493,56477,114688,43929,43409,105583,63750,120357,31875,71411,-,22917,41620,52625,33276,22788,19449,75764,30792,-,-,51505,48782,24412,22582,30938,-,31250,45259,52125,39304,-,32606,28454,35673,17356,16551,14659,54073,80.6,-,-,153.8,86.4,21.3,51.4,71.3,-,49,37.6,163.5,55,-,142.3,68.4,67.8,52.2,72.6,75.4,71.4
91324,42114,42708,-,40625,51852,54167,28125,39107,130833,81500,62452,45500,61957,-,25050,45460,48063,21746,20326,24328,66467,43771,42708,-,40250,61012,61071,30607,31979,88750,81167,85132,54250,63816,-,23750,43523,53674,29113,21731,40833,74643,39341,-,-,41136,48125,47931,23636,49934,-,88409,47238,28523,46875,-,27583,47083,46867,11991,19680,20893,51458,89.9,-,-,102.2,78.9,78.5,77.2,156.1,-,108.9,55.5,52.6,73.5,-,116.1,108.2,87.3,41.2,90.6,51.2,68.9
91325,32718,11953,-,39788,32331,13056,18961,28611,86199,51618,61603,40552,46394,-,31424,36410,40131,29375,20548,24375,52065,36170,-,-,37167,31481,15739,17154,28356,86164,55375,53877,42122,58281,-,32955,66713,44394,32278,22089,39063,85875,31115,-,-,63750,37727,12395,20114,56250,-,50179,70789,24167,41036,-,30063,30779,38125,15192,18272,15444,26941,86,-,-,171.5,119.8,78.8,117.3,198.4,-,90.6,131.4,57.4,70.4,-,91.2,46.1,85.9,47.1,82.7,39.5,31.4
91326,61709,-,-,60000,73808,82337,25635,56250,116696,90781,83250,58542,82679,-,32112,53604,73884,42361,28810,32383,96143,74942,-,-,66510,79738,81094,37450,49808,122961,90625,123750,64605,104025,-,41402,56625,75000,64946,36573,70134,96433,47996,-,-,48792,55682,90500,17454,80875,61786,95100,49188,53068,52155,-,16250,52727,72031,15873,21250,27401,79050,64,-,-,73.4,69.8,111.6,46.6,162.4,50.2,104.9,39.7,82.1,50.1,-,39.2,93.1,96,24.4,58.1,39.1,82
91330,4981,-,-,9250,-,-,5197,10417,-,"2,500-",-,10714,6458,-,-,3917,11667,5000,4212,-,"2,500-",5496,-,-,9250,-,-,4868,6786,-,"2,500-",-,-,-,-,-,4095,-,-,4868,-,-,4744,-,-,-,-,-,5446,-,-,-,-,10714,6458,-,-,3750,11667,4191,3940,-,"2,500-",86.3,-,-,-,-,-,111.9,-,-,-,-,-,-,-,-,91.6,-,-,80.9,-,-
91331,27012,34792,9779,30947,30162,31989,21170,30744,62750,44271,42480,30957,43027,72750,24480,25705,30803,25127,17673,22366,39261,30429,40732,9779,30885,35851,33500,21829,32321,73472,46389,52833,31277,42222,-,25385,37319,35756,26656,20078,29008,54000,23794,16591,-,42679,26297,26761,19674,20475,38864,33250,40907,26711,43849,72750,19665,20987,28761,17135,15914,15460,36056,78.2,40.7,-,138.2,73.4,79.9,90.1,63.3,52.9,71.7,77.4,85.4,103.9,-,77.5,56.2,80.4,64.3,79.3,53.3,66.8
91335,32959,18401,-,35666,44307,44770,26036,33067,51019,64375,49575,32788,52656,-,25894,38653,36836,33433,19038,21299,53111,36396,23750,-,35669,50469,44109,29833,33750,51852,73542,52355,35556,63548,-,30633,39679,39000,34159,21106,30054,64063,29476,12226,-,35647,30345,48486,22001,22466,-,60119,45781,26946,39769,-,21131,38208,35477,31250,17416,17254,41111,81,51.5,-,99.9,60.1,109.9,73.7,66.6,-,81.7,87.4,75.8,62.6,-,69,96.3,91,91.5,82.5,57.4,64.2
91340,30410,21903,-,30404,30850,37357,23542,40698,91354,37083,36057,58839,42192,-,22370,25000,32289,26860,17923,22578,50000,33172,26897,-,31299,32372,43036,25797,41622,90729,53712,60444,60227,41615,-,23750,33824,47500,40278,19637,32104,56583,24760,16984,-,11902,22865,35841,19535,27727,-,27557,35089,37656,43750,-,22331,21833,31763,12054,11559,15938,36563,74.6,63.1,-,38,70.6,83.3,75.7,66.6,-,51.3,58.1,62.5,105.1,-,94,64.5,66.9,29.9,58.9,49.6,64.6
91342,32321,16940,36818,30808,37343,38981,21881,37071,89583,59012,48156,50648,39893,-,25399,40291,39427,30140,18904,22725,45739,36960,30489,-,30570,40150,41278,24741,37232,98750,62558,52386,58472,53864,-,27274,48673,51765,31605,30702,31969,62431,30068,4398,-,32275,30887,26581,19058,36754,86250,54732,47608,40991,31465,-,17647,34848,35876,25507,16477,14583,38977,81.4,14.4,-,105.6,76.9,64.4,77,98.7,87.3,87.5,90.9,70.1,58.4,-,64.7,71.6,69.3,80.7,53.7,45.6,62.4
91343,30847,15987,-,28568,31202,38056,21370,40233,86023,64583,48989,46039,59943,-,24734,31947,38624,28168,21513,24902,47317,33572,18167,-,28362,35679,35313,23836,37188,86023,75943,51979,46152,63125,-,26284,48625,55494,30116,23078,34375,60673,26855,13594,-,50484,21563,39205,18925,48065,-,60000,48722,45817,54592,-,19806,30308,34362,25000,20858,18827,25433,80,74.8,-,178,60.4,111,79.4,129.2,-,79,93.7,99.3,86.5,-,75.4,62.3,61.9,83,90.4,54.8,41.9
91344,44002,28889,-,52321,51094,44000,26216,40977,110625,79348,78500,61071,68811,-,29557,45787,48971,26827,20256,21728,62936,50849,22331,-,48843,62595,60478,32083,40427,115278,92292,89815,62321,76217,-,29930,49875,70000,33008,25746,27250,83316,38002,-,-,71875,41339,38393,25443,43115,87917,62569,59227,52257,50000,-,28971,41028,42747,8382,14640,20790,50048,74.7,-,-,147.2,66,63.5,79.3,106.6,76.3,67.8,65.9,83.9,65.6,-,96.8,82.3,61.1,25.4,56.9,76.3,60.1
91345,34367,47917,-,34461,41332,70104,20856,61320,89643,62875,54300,43036,43807,-,35568,31610,40972,22885,25746,20426,60865,40523,55602,-,34118,42106,82500,30893,60979,97981,67500,53000,44821,44176,-,38534,38358,53389,24219,26789,25268,61923,26232,14934,-,41250,30719,24150,16208,80250,-,56683,54857,11111,38194,-,17353,25556,32242,11953,20758,15586,33750,64.7,26.9,-,120.9,73,29.3,52.5,131.6,-,84,103.5,24.8,86.5,-,45,66.6,60.4,49.4,77.5,61.7,54.5
91350,56711,30469,-,60943,65870,51827,24219,53152,96366,84412,83375,47059,78875,-,34524,53833,51742,32391,17011,26591,101754,68862,30469,-,61639,76250,53015,30536,55000,97338,85833,90625,63125,85592,-,37448,76513,51569,58646,14484,38295,114898,46650,-,-,50893,53317,51250,21473,45500,85833,79375,68553,39167,75804,-,21463,44596,52171,12375,20417,25506,76862,67.7,-,-,82.6,69.9,96.7,70.3,82.7,88.2,92.5,75.6,62,88.6,-,57.3,58.3,101.2,21.1,141,66.6,66.9
91351,40350,21563,-,49938,53405,42679,23920,45625,100227,83400,63333,42454,54129,-,27917,51833,41104,16790,20040,33462,79205,47813,-,-,52556,58482,45868,26326,48000,102045,85353,56530,47949,70583,-,31141,68917,49297,17151,21406,43565,85119,35246,-,-,11667,42852,41406,23177,44583,-,55083,74563,41548,40528,-,27076,35250,40510,12500,16761,23958,75673,73.7,-,-,22.2,73.3,90.3,88,92.9,-,64.5,131.9,86.7,57.4,-,86.9,51.1,82.2,72.9,78.3,55,88.9
91352,29825,23021,37012,31811,32072,28190,24928,31735,71591,36563,35262,59315,44870,-,24137,33942,31612,29461,16890,20340,38750,30821,22917,37012,31706,35195,35288,29176,32021,95486,31913,32418,43500,47368,-,24911,22444,31696,29224,21310,25972,41850,26861,25139,-,36786,30440,21544,19510,30743,-,58456,35349,73309,43932,-,21484,34135,31605,34219,15770,16985,36458,87.2,109.7,-,116,86.5,61.1,66.9,96,-,183.2,109,168.5,92.7,-,86.2,152.1,99.7,117.1,74,65.4,87.1
91354,72873,55556,-,64313,103365,63095,35161,46813,93889,105806,88714,74274,96128,-,75334,58393,80741,28750,12215,31510,104563,86883,55556,-,76100,115972,74483,44079,53403,94583,122045,96832,100556,123201,-,75816,82930,136362,29944,12181,42768,122292,53654,-,-,54206,60170,30577,30058,31645,-,81202,74323,55192,69412,-,53594,46932,72500,26774,12375,20947,73661,61.8,-,-,71.2,51.9,41.1,68.2,59.3,-,66.5,76.8,54.9,56.3,-,70.7,56.6,53.2,89.4,101.6,49,60.2
91355,56645,-,-,70422,92857,56107,32051,60739,99293,81721,86146,62188,79500,-,31860,44219,69559,23730,15234,32411,108636,65661,-,-,71988,92798,53953,32420,75682,99946,86146,102946,64219,114917,-,42083,42316,96438,36901,21875,40956,125139,47216,-,-,44375,95192,75875,25104,39965,-,54534,64399,58482,60217,-,31250,46172,62574,16190,6311,26184,48935,71.9,-,-,61.6,102.6,140.6,77.4,52.8,-,63.3,62.6,91.1,52.4,-,74.3,109.1,64.9,43.9,28.9,63.9,39.1
91356,47577,49034,-,40750,60600,73047,32188,35852,-,57361,101094,41023,74258,-,34574,51821,54879,36369,18891,19868,56786,54308,55781,-,42159,60650,85304,43525,20125,-,67428,154920,40511,104395,-,32969,51645,100000,41767,25278,42896,59821,38046,-,-,37578,54792,49722,28458,-,-,27500,61111,51364,54205,-,43854,51977,39241,33125,17335,17614,55625,70.1,-,-,89.1,90.3,58.3,65.4,-,-,40.8,39.4,126.8,51.9,-,133,100.6,39.2,79.3,68.6,41.1,93
91360,46816,58125,-,47115,112368,58182,25184,56406,95114,84219,102736,40667,93222,31369,44929,42060,45197,19661,16471,27123,102734,57422,57813,-,42353,121484,60887,27072,70735,95909,90685,114450,40750,99145,67813,47885,53897,73682,15815,23388,32423,103590,38538,80385,-,60064,75391,48571,21849,53633,83906,60682,87083,39942,81250,-,38750,39167,42964,22560,15392,21337,70329,67.1,139,-,141.8,62.1,79.8,80.7,75.8,87.5,66.9,76.1,98,82,-,80.9,72.7,58.3,142.6,65.8,65.8,67.9
91361,68441,-,-,85388,90721,129583,32396,71413,-,123580,119135,75625,104758,-,39375,38309,72115,42798,22996,18958,106250,89286,-,-,85690,91000,"250,000+",44803,91528,-,173611,159464,104688,155890,-,38047,44844,106181,75972,30225,51100,118333,53888,-,-,58906,90341,78478,19107,70217,-,62917,76806,64632,72554,-,44432,36936,61074,26875,19694,13889,74097,60.4,-,-,68.7,99.3,-,42.6,76.7,-,36.2,48.2,61.7,46.5,-,116.8,82.4,57.5,35.4,65.2,27.2,62.6
91362,63109,12337,-,76220,117829,83583,24448,41484,-,107250,98818,47465,101205,108365,33775,47147,54259,31571,17126,30611,94669,82044,-,-,76536,149063,83167,37838,27426,-,110500,138239,31638,112438,-,51750,82957,68466,43700,19119,32269,128214,46094,12120,-,12434,89524,85284,21970,59327,-,84861,82546,48490,67286,108365,20825,37222,53356,23036,13818,25568,77279,56.2,-,-,16.2,60.1,102.5,58.1,216.3,-,76.8,59.7,153.3,59.8,-,40.2,44.9,77.9,52.7,72.3,79.2,60.3
91364,63267,33690,-,80625,80833,95167,28382,36250,98162,109916,85353,85530,78715,-,37188,50789,46569,95341,19472,44817,62917,75742,27012,-,74844,75313,111111,50189,31569,-,109420,99375,77419,91733,-,39784,51908,71771,120625,18875,73487,63611,48681,-,-,121140,88125,47167,21573,61850,-,112386,59219,85606,66250,-,24153,44250,43235,59306,21000,42750,47153,64.3,-,-,161.9,117,42.5,43,195.9,-,102.7,59.6,110.6,72.2,-,60.7,85.2,60.2,49.2,111.3,58.2,74.1
91367,60396,-,-,54919,76731,61694,33922,30887,141150,77348,80946,63972,85827,-,56275,57354,51595,31452,24000,26231,81577,72296,-,-,53226,86818,61833,43152,29500,141950,90917,89573,54701,95525,-,54000,74423,113325,42276,31888,32717,90708,50409,-,-,62808,65417,57298,31951,31452,-,70543,71089,65641,69669,-,56375,50865,50158,26468,17039,25064,68438,69.7,-,-,118,75.3,92.7,74,106.6,-,77.6,79.4,120,72.9,-,104.4,68.3,44.3,62.6,53.4,76.6,75.4
